#node1 node2 weight
around thing 152
around stability 177
likely stability 177
definitely world 32
definitely thanks 32
thanks whipping 32
biggest whipping 32
biggest terrorist 40
killed terrorist 40
killed thousand 80
innocent thousand 40
favorite part 32
denying yes 32
cause denying 32
cause problem 32
problem slap 32
face slap 32
face please 32
please tell 48
cl tell 32
ahead get 32
little poor 32
little pushing 32
propaganda pushing 32
listen propaganda 64
line propaganda 32
right trump 104
killing thing 40
killing known 32
known terrorist 32
terrorist weak 32
guy kill 40
anymore kill 32
anymore journalist 32
fake news 128
america qualified 49
nuclear qualified 49
nuclear power 57
country power 49
country world 67
right want 25
dotard want 24
draft said 24
dodger draft 49
chief dodger 24
ask help 24
clean help 24
clean twitter 24
leftist twitter 24
company leftist 24
dude smell 24
like smell 24
like war 32
crime golf 24
go golf 24
go take 24
shower take 24
assume efficient 24
efficient way 24
murder way 24
murder pesky 24
journalist pesky 24
lie mouth 24
selling train 72
californian train 72
californian right 72
operated owned 24
operated putin 24
according samson 24
cartoon samson 24
cartoon episode 24
episode sent 24
hell sent 24
hell soon 32
soon wait 24
wait watch 24
medium post 48
post serve 32
notification serve 32
notification president 16
president stark 16
barking stark 16
barking bonkers 16
great see 24
maintaining see 16
maintaining relationship 16
murder relationship 16
dictator murder 16
know love 73
love saudi 113
come saudi 73
come nothing 73
killed nothing 81
iran sight 16
sight trump 16
property trump 160
property steer 16
clear steer 16
clear trump 16
real trump 32
estate real 24
need voter 216
id voter 216
id many 216
county many 216
county throughout 216
throughout u 216
10 u 16
secretary u 16
secretary state 16
state using 16
joy using 24
joy syrian 16
propaganda syrian 16
killing propaganda 16
district human 16
human live 16
filth live 16
mouth shit 16
remind time 336
government remind 336
government saudi 336
arabia saudi 977
arabia owns 336
entire owns 336
45 entire 336
25th sorry 16
25th amendment 16
amendment written 16
forget written 16
forget impeachment 32
25 impeachment 16
thing word 16
know thing 24
know nothing 24
escalate reason 16
escalate iran 16
bc iran 16
bc w 16
good realise 16
realise saudi 16
biggest saudi 16
biggest threat 16
threat world 24
peace world 72
apart peace 16
new york 48
privilege york 16
privilege revoked 16
ally let 16
ally slaughtered 16
business slaughtered 16
business terrorist 16
iran one 24
one threatens 16
brazenly threatens 16
brazenly disrespectfully 16
commander disrespectfully 16
commander world 16
get intelligence 16
agency intelligence 16
agency vehemently 16
trying vehemently 16
discredit trying 16
discredit last 16
pardon please 40
mouthpiece regarding 40
murder regarding 40
amp murder 40
amp torture 40
doj want 520
friend want 536
friend jail 520
jail time 520
time traitor 520
sign traitor 520
book sign 520
briefing tweet 16
day tweet 17
day hour 16
become hour 16
know yeah 17
know saudi 41
already arabia 17
already told 17
like told 17
like weird 17
super weird 17
shady super 17
look number 16
homeless number 32
homeless politician 16
hard trump 48
always work 16
accomplish always 16
accomplish today 16
plague spread 16
nationwide spread 16
dismemberment murder 112
dismemberment mr 88
discus mr 80
discus remove 80
equipment sending 32
sending son 16
daughter son 64
daughter father 16
father mother 40
leader mother 16
sending troop 16
mercenary troop 16
better mercenary 16
better wipe 16
brown wipe 16
brown stuff 16
nose stuff 16
earthquake work 16
earthquake rico 120
state supervise 16
problem state 16
problem responsibility 16
bring happen 16
bring shooting 16
military shooting 16
journalist military 16
journalist murdered 56
kill next 16
minion yes 16
banana minion 16
gone president 16
gone long 16
message mr 16
mr trump 273
gave trump 16
gave iran 24
iran opportunity 16
interfere opportunity 16
go leave 16
america leave 16
alone america 16
million said 32
greek million 32
greek u 32
amp u 64
amp know 32
close know 32
close violating 32
resolution violating 32
bone talk 24
dismissed yes 16
bang dismissed 16
bang gavel 16
adult diaper 16
always still 16
always impeached 16
impeached senate 16
decide senate 16
decide get 16
get removed 16
baloney keep 16
keep saying 16
hear saying 16
blocked hear 16
believe blocked 16
love russia 16
day good 24
day yet 24
wanker yet 24
republican say 24
party republican 32
party run 24
fort run 16
fort worth 16
tx worth 16
increasing tx 16
homeless increasing 16
homeless population 16
go straight 16
hell straight 16
hell nothing 16
good nothing 24
ever good 48
come ever 16
come presidency 16
call going 16
call sa 16
funding sa 16
funding terrorism 24
like terrorism 16
iran like 48
iran w 16
please support 120
following help 136
following voting 136
fake trump 32
piece read 16
know piece 16
know ordinary 16
iranian ordinary 16
